name,slug,category,description,city,address,lat,lng,website,phone,email,image_url,sens_noise_1to5,sens_light_1to5,sens_crowd_1to5,sens_quiet_room,sens_headphones,sens_staff_trained,sens_certification,sens_last_verified
South Side Community Centre,south-side-community-centre-petawawa,Community Centre,,Petawawa,1578 Wolfe Avenue,45.898917,-77.2648156,,,,,,,,,,,,
Talbot Trail Place,talbot-trail-place,Park,,Blenheim,,42.3341503,-81.9951196,,,,,,,,,,,,
ForsythPark,forsythpark,Park,,Blenheim,,42.3425041,-81.9925607,,,,,,,,,,,,
Vander Park,vander-park,Park,,Blenheim,,42.3397328,-82.0015577,,,,,,,,,,,,
Power House Square,power-house-square,Park,,Blenheim,,42.3350291,-81.9988573,,,,,,,,,,,,
Freedom Library and Military Museum,freedom-library-and-military-museum,Museum,,Blenheim,27 George Street,42.3353764,-81.9986427,https://www.facebook.com/blenheimMM,,,,,,,,,,,
Solvay Park,solvay-park,Park,,Blenheim,,42.3456836,-81.9996768,,,,,,,,,,,,
Glengarry Sports Hall of Fame,glengarry-sports-hall-of-fame,Museum,,North Glengarry,,45.2921267,-74.8522884,https://www.glengarrysports.ca/,,,,,,,,,,,
Bathgate Commons Park,bathgate-commons-park-courtice,Park,,Courtice,135 Bathgate Crescent,43.8903583,-78.7946245,,,,,,,,,,,,
Lions Club,lions-club-smiths-falls,Community Centre,,Smiths Falls,19 Abbott Street South,44.894262,-76.0259385,,,,,,,,,,,,
Dalhousie South Park,dalhousie-south-park,Park,,Ottawa,343 Bell Street South,45.4021114,-75.7028017,,,,,,,,,,,,
Orillia Art Musuem,orillia-art-musuem,Museum,,Orillia,,44.6084887,-79.4169306,https://www.orilliamuseum.org/,,,,,,,,,,,
Pleasant View Parkette,pleasant-view-parkette,Park,,Toronto,,43.7834903,-79.3360541,,,,,,,,,,,,
Arbeatha Park,arbeatha-park,Park,,Ottawa,105 Arbeatha Street,45.3162796,-75.823202,,,,,,,,,,,,
Lafontaine Beach Park,lafontaine-beach-park,Park,,Tiny,,44.7420807,-80.0885575,,,,,,,,,,,,
Fringewood Park - Phase 2,fringewood-park---phase-2-ottawa,Park,,Ottawa,1 Poole Creek Crescent,45.2757586,-75.9115728,,,,,,,,,,,,
L. M. Montgomery Museum,l-m-montgomery-museum-uxbridge,Museum,,Uxbridge,,44.2018805,-79.160488,https://lucymaudmontgomery.ca/,,,,,,,,,,,
Good Shepherd: Notre Dame House,good-shepherd-notre-dame-house,Community Centre,,Hamilton,14 Cannon Street West,43.261116,-79.867891,https://goodshepherdcentres.ca/services/notre-dame-house/,1+905-308-8090,,,,,,,,,,
Mishkeegogamang First Nation Community Center,mishkeegogamang-first-nation-community-center,Community Centre,,Oshki-Mishkeegogamang / New Osnaburgh,,51.2326515,-90.2311474,,,,,,,,,,,,
Marquis Park,marquis-park,Park,,Ottawa,1913 Marquis Avenue,45.4455747,-75.6004509,,,,,,,,,,,,
Athens Public Library,athens-public-library,Library,,Athens,5 Central Street,44.6251802,-75.9502156,,,,,,,,,,,,
Emmanuel Anglican Church,emmanuel-anglican-church,Community Centre,,Rideau Lakes,,44.6960498,-76.1919312,,,,,,,,,,,,
Lloyd Watson Community Centre,lloyd-watson-community-centre,Community Centre,,Highlands East,,45.0362916,-78.2229939,,,,,,,,,,,,
Broughton Park,broughton-park,Park,,Ottawa,150 Battersea Crescent,45.3160352,-75.9345854,,,,,,,,,,,,
Harbour View Park,harbour-view-park-ottawa,Park,,Ottawa,150 Harbour View Street,45.2689108,-75.7083597,,,,,,,,,,,,
Roblin Community Hall,roblin-community-hall,Community Centre,,Greater Napanee,3264 County Road 41,44.3792791,-77.022199,,,,,,,,,,,,
Agro Park,agro-park,Park,,Hamilton,,43.3358024,-79.8836338,,,,,,,,,,,,
Armour Heights Community Recreation Centre,armour-heights-community-recreation-centre,Community Centre,,Toronto,,43.73942,-79.4218836,,,,,,,,,,,,
Plantagenet Community Hall,plantagenet-community-hall,Community Centre,,Alfred and Plantagenet,,45.5349851,-74.9972573,,,,,,,,,,,,
Trent Hills Public Library - Campbellford Branch,trent-hills-public-library---campbellford-branch,Library,,Trent Hills,,44.3082248,-77.7950424,,,,,,,,,,,,
Dufferin Amphitheatre,dufferin-amphitheatre,Park,,Toronto,,43.6423764,-79.4291266,,,,,,,,,,,,
Huron County Library - Brussels Branch,huron-county-library---brussels-branch-brussels,Library,,Brussels,402 Turnberry Street,43.7443973,-81.2501656,,+1-519-887-6448,,,,,,,,,,
Marathon Park,marathon-park,Park,,Ottawa,210 Linda Loop,45.3605488,-76.1211249,,,,,,,,,,,,
Huron County Library - Seaforth Branch,huron-county-library---seaforth-branch-seaforth,Library,,Seaforth,108 Main Street South,43.5503848,-81.3955816,,,,,,,,,,,,
Alex McKenzie Park,alex-mckenzie-park,Park,,St. Catharines,,43.1656669,-79.2576076,,,,,,,,,,,,
Deer Haven Optimist Park,deer-haven-optimist-park,Park,,Middlesex Centre,,43.082561,-81.3841766,,,,,,,,,,,,
Mitchell Lion's Park,mitchell-lions-park,Park,,West Perth,,43.4718089,-81.1985694,,,,,,,,,,,,
Currah Parkette,currah-parkette,Park,,St. Thomas,,42.7790856,-81.1887455,,,,,,,,,,,,
Willke Park,willke-park,Park,,Centre Wellington,,43.7102341,-80.3763674,,,,,,,,,,,,
Belwood Conservation Area,belwood-conservation-area,Park,,Centre Wellington,,43.7349284,-80.3290735,,,,,,,,,,,,
Bayview Friendship Park,bayview-friendship-park,Park,,Ottawa,128 Bayview Station Road,45.4073624,-75.7238232,,,,,,,,,,,,
Fraser Fields Parkette,fraser-fields-parkette,Park,,Ottawa,309 Harthill Way,45.2625614,-75.7642544,,,,,,,,,,,,
Newton Park,newton-park,Park,,Brampton,,43.6989896,-79.770392,,,,,,,,,,,,
Ken Whillans Park,ken-whillans-park,Park,,Brampton,,43.6943778,-79.7655762,,,,,,,,,,,,
Scott Street Parkette,scott-street-parkette,Park,,Brampton,,43.6919512,-79.7602063,,,,,,,,,,,,
Riverbend Park,riverbend-park,Park,,London,,42.9711827,-81.363995,,,,,,,,,,,,
Parkdale Activity-Recreation Centre,parkdale-activity-recreation-centre,Community Centre,,Toronto,1499 Queen Street West,43.6396197,-79.4404072,https://parc.on.ca/,,,,,,,,,,,
Bruce County Public Library - Kincardine Branch,bruce-county-public-library---kincardine-branch-kincardine,Library,,Kincardine,727 Queen Street,44.1755354,-81.6359714,,,,,,,,,,,,
PLCA picnic area,plca-picnic-area,Park,,Puslinch,,43.4203829,-80.2731942,,,,,,,,,,,,
The Meadows Park,the-meadows-park-markham,Park,,Markham,The Meadows,43.8882999,-79.2313266,,,,,,,,,,,,
Seabrooke Park,seabrooke-park,Park,,Ottawa,90 Seabrooke Drive,45.2949823,-75.8926742,,,,,,,,,,,,
Dutrisac Park,dutrisac-park-clarence-rockland,Park,,Clarence-Rockland,Sandra Crescent,45.5531764,-75.2743294,,,,,,,,,,,,
Lightcatcher Park,lightcatcher-park,Park,,Brampton,95 Lightcatcher Circle,43.7948959,-79.667471,,,,,,,,,,,,
Hillside Estates Park,hillside-estates-park,Park,,Ottawa,2660 Pierrette Drive,45.515372,-75.38427,,,,,,,,,,,,
Bissell Park,bissell-park-elora,Park,,Elora,127 Mill Street East,43.6833464,-80.4244127,,,,,,,,,,,,
Green Lane Sports Complex,green-lane-sports-complex,Park,,Paris,,43.2046241,-80.363558,,,,,,,,,,,,
The Great Hall,the-great-hall-toronto,Community Centre,,Toronto,1087 Queen Street West,43.6432698,-79.422075,,,,,,,,,,,,
Mississauga Library - The Woodlands,mississauga-library---the-woodlands,Library,,Mississauga,,43.5627729,-79.6494506,,,,,,,,,,,,
Branchwood Park,branchwood-park,Park,,Ottawa,23 Branchwood Street,45.2775581,-75.706056,,,,,,,,,,,,
Andrew Haydon Park,andrew-haydon-park,Park,,Ottawa,3127 Carling Avenue,45.3526419,-75.816564,,,,,,,,,,,,
Claire Taylor Optimist park,claire-taylor-optimist-park,Park,,Blenheim,,42.3376039,-81.9885301,,,,,,,,,,,,
McKee Parkette,mckee-parkette-toronto,Park,,Toronto,21 Church Avenue,43.7738369,-79.4127438,,,,,,,,,,,,
Joseph Vézina Park,joseph-vezina-park,Park,,Ottawa,205 Serra Ridge,45.4524326,-75.4608374,,,,,,,,,,,,
Norman Edwards Park,norman-edwards-park,Park,,Ottawa,155 Sunshine Crescent,45.44833,-75.4606122,,,,,,,,,,,,
Boisdale Park,boisdale-park,Park,,Ottawa,210 Émerillon Ridge,45.4485404,-75.4645775,,,,,,,,,,,,
Henry Park,henry-park,Park,,Leamington,,42.0396893,-82.6034446,,,,,,,,,,,,
Shotton Parkette,shotton-parkette,Park,,Leamington,,42.052611,-82.6007599,,,,,,,,,,,,
Henri-Rocque Park,henri-rocque-park,Park,,Ottawa,,45.446559,-75.4836363,,,,,,,,,,,,
Italian Centennial Park,italian-centennial-park,Park,,Leamington,,42.0542251,-82.6001172,,,,,,,,,,,,
26 Bruce Street Parkette,26-bruce-street-parkette,Park,,Vaughan,,43.7808311,-79.5851137,,,,,,,,,,,,
Scout Memorial Park,scout-memorial-park,Park,,Leamington,,42.058053,-82.5936456,,,,,,,,,,,,
Dieppe Park,dieppe-park,Park,,Leamington,,42.052553,-82.5980253,,,,,,,,,,,,
Pearl Park,pearl-park,Park,,Leamington,,42.053426,-82.6126498,,,,,,,,,,,,
William Simpson Park,william-simpson-park,Park,,Leamington,,42.0421151,-82.6182234,,,,,,,,,,,,
Hyatt Park,hyatt-park,Park,,Leamington,,42.048275,-82.587194,,,,,,,,,,,,
Rickway Park,rickway-park,Park,,Leamington,,42.0303603,-82.5993084,,,,,,,,,,,,
Norman Craig Square,norman-craig-square-fergus,Park,,Fergus,265 Tower Street South,43.7026936,-80.3766549,,,,,,,,,,,,
Colebrook Conservation Area,colebrook-conservation-area,Park,,Stone Mills,,44.3876322,-76.7699729,,,,,,,,,,,,
Sato Street Park,sato-street-park,Park,,Whitby,,43.8990665,-78.9554988,,,,,,,,,,,,
Ferrier Park,ferrier-park,Park,,Centre Wellington,,43.6956576,-80.3778252,,,,,,,,,,,,
Garrison Gardens,garrison-gardens,Park,,Leamington,,42.0447455,-82.5907975,,,,,,,,,,,,
Autumn Willow Park,autumn-willow-park,Park,,Waterloo,,43.4623254,-80.6045423,,,,,,,,,,,,
Cassia Circle Park,cassia-circle-park,Park,,Ottawa,1876 Cassia Circle,45.481056,-75.4654513,,,,,,,,,,,,
Royal Ridge Park,royal-ridge-park,Park,,Ottawa,,45.4888957,-75.4764263,,,,,,,,,,,,
Joseph Laflamme Park,joseph-laflamme-park,Park,,Ottawa,,45.4908861,-75.4951078,,,,,,,,,,,,
Stoneboat Park,stoneboat-park,Park,,Ottawa,1765 Stoneboat Crescent,45.4727789,-75.5325419,,,,,,,,,,,,
Algonquin Regiment Memorial Beach Park,algonquin-regiment-memorial-beach-park-new-liskeard,Park,,New Liskeard,Beach Boulevard,47.5005094,-79.6781667,https://www.temiskamingshores.ca/en/resident/Parks-Recreation-Sport.aspx#Community-Parks,,,,,,,,,,,
Oak Ave Park,oak-ave-park,Park,,Temiskaming Shores,,47.5117293,-79.6644698,,,,,,,,,,,,
Sweetvalley Park,sweetvalley-park,Park,,Ottawa,180 Sweetvalley Drive,45.4419933,-75.4810892,,,,,,,,,,,,
Middleville Community Centre,middleville-community-centre,Community Centre,,Lanark Highlands,,45.0979904,-76.395346,,,,,,,,,,,,
Wylie Street Park,wylie-street-park,Park,,Mississippi Mills,,45.2239062,-76.2065725,,,,,,,,,,,,
Toronto Public Library - Armour Heights,toronto-public-library---armour-heights,Library,,Toronto,2140 Avenue Road,43.7392676,-79.4217072,https://www.torontopubliclibrary.ca/detail.jsp?R=LIB023,,,,,,,,,,,
Bruce Creek,bruce-creek,Park,,Markham,,43.8744742,-79.3260688,,,,,,,,,,,,
Lear Parkette,lear-parkette,Park,,Ajax,,43.8311629,-78.982203,,,,,,,,,,,,
Morningside Church Park Area,morningside-church-park-area,Park,,Toronto,,43.646399,-79.4729308,,,,,,,,,,,,
Hog's Back Locks Park,hogs-back-locks-park,Park,,Ottawa,,45.3703077,-75.6998521,,,,,,,,,,,,
Marble Hill Parkette,marble-hill-parkette,Park,,Toronto,,43.6874721,-79.4505255,,,,,,,,,,,,
Scout House,scout-house,Community Centre,,Kitchener,,43.4646674,-80.4590878,,,,,,,,,,,,
Kanata Town Centre Stormwater Pond,kanata-town-centre-stormwater-pond,Park,,Ottawa,147 Gray Crescent,45.3147189,-75.8982031,,,,,,,,,,,,
Merritt Park,merritt-park-st-catharines,Park,,St. Catharines,9 St Paul Street West,43.1541541,-79.2459068,,,,,,,,,,,,
Oakhill Park,oakhill-park,Park,,St. Catharines,,43.1536904,-79.2482905,,,,,,,,,,,,
West Cathedral Pond,west-cathedral-pond,Park,,Markham,,43.9033187,-79.3794065,,,,,,,,,,,,
Memorial Baptist Church Park,memorial-baptist-church-park,Park,,Stratford,,43.3574522,-80.9700414,,,,,,,,,,,,
Jubilee Grounds and Park,jubilee-grounds-and-park,Park,,Stratford,,43.3558996,-80.9735669,,,,,,,,,,,,
Jubilee Gardens,jubilee-gardens,Park,,Stratford,,43.3557538,-80.9719572,,,,,,,,,,,,
Knights of Columbus Forest Park,knights-of-columbus-forest-park,Park,,Stratford,,43.3533442,-80.9700922,,,,,,,,,,,,
Shaver Estates Park,shaver-estates-park-ancaster,Park,,Ancaster,33 Brooking Court,43.2004172,-80.0109911,,,,,,,,,,,,
William Cantley Park,william-cantley-park-markham,Park,,Markham,89 Livante Court,43.9084468,-79.3767426,,,,,,,,,,,,
Washago Centennial Park,washago-centennial-park,Park,,Severn,,44.7476763,-79.3382287,,,,,,,,,,,,
Lincoln Heights Park,lincoln-heights-park,Park,,Ottawa,265 Britannia Road,45.3673085,-75.7932455,,,,,,,,,,,,
Haldimand County Public Library - Dunnville Branch,haldimand-county-public-library---dunnville-branch,Library,,Dunnville,,42.9043827,-79.616436,,,,,,,,,,,,
Garfield Disher Park,garfield-disher-park,Park,,Dunnville,,42.9000422,-79.6158583,,,,,,,,,,,,
St. Patrick's Park,st-patricks-park-st-catharines,Park,,St. Catharines,64 Catherine Street,43.1686586,-79.2445843,,,,,,,,,,,,
Kentville Park,kentville-park,Park,,Markham,,43.8596869,-79.2198254,,,,,,,,,,,,
Box Grove Community Park,box-grove-community-park,Park,,Markham,,43.8628468,-79.2273822,,,,,,,,,,,,
Millennium Square,millennium-square,Park,,Markham,,43.8655677,-79.3117991,,,,,,,,,,,,
Sparta Woods Park,sparta-woods-park,Park,,Markham,,43.8662066,-79.2258975,,,,,,,,,,,,
Eden Oak Park,eden-oak-park-kitchener,Park,,Kitchener,125 Eden Oak Trail,43.4526586,-80.4031604,,,,,,,,,,,,
Havencrest Park,havencrest-park,Park,,Ottawa,,45.2727172,-75.7854765,,,,,,,,,,,,
Bellevue Manor Park,bellevue-manor-park,Park,,Ottawa,1520 Caldwell Avenue,45.3731168,-75.7405447,,,,,,,,,,,,
Cadzow Park,cadzow-park,Park,,St. Marys,,43.2546696,-81.1406934,,,,,,,,,,,,
St. Marys Museum,st-marys-museum-st-marys,Museum,,St. Marys,177 Church Street,43.2549128,-81.1408387,https://www.townofstmarys.com/en/recreation-and-culture/Museum-and-Archives.aspx,,,,,,,,,,,
East Ward Park,east-ward-park,Park,,St. Marys,,43.2578242,-81.1341302,,,,,,,,,,,,
West Ward (Watt) Park,west-ward-watt-park,Park,,St. Marys,,43.2576448,-81.151856,,,,,,,,,,,,
Triangle Park,triangle-park,Park,,Welland,,42.9743367,-79.237149,,,,,,,,,,,,
Stuemer Park,stuemer-park,Park,,Ottawa,777 Trim Road,45.5051402,-75.4875355,,,,,,,,,,,,
Bella Vista Park,bella-vista-park,Park,,Ottawa,1541 Carino Crescent,45.5112705,-75.45908,,,,,,,,,,,,
Barnett Park,barnett-park,Park,,Ottawa,2045 Regional Road 174,45.5169492,-75.4306105,,,,,,,,,,,,
Valleyland,valleyland,Park,,Ottawa,8468 Jeanne-d'Arc Boulevard North,45.491667,-75.4937389,,,,,,,,,,,,
Rossignol Park,rossignol-park,Park,,Ottawa,8426 Jeanne-d'Arc Boulevard North,45.490351,-75.4971095,,,,,,,,,,,,
Sandpiper Cove Park,sandpiper-cove-park,Park,,Ottawa,8510 Jeanne-d'Arc Boulevard North,45.493124,-75.4936715,,,,,,,,,,,,
Millenium Park,millenium-park,Park,,St. Marys,,43.2607355,-81.1431132,,,,,,,,,,,,
Talcy Park,talcy-park,Park,,Ottawa,1359 Talcy Crescent,45.4876565,-75.480631,,,,,,,,,,,,
Millennium Sports Park,millennium-sports-park,Park,,Ottawa,100 Millennium Boulevard,45.4666512,-75.4468851,https://ottawa.ca/en/residents/recreation-and-parks/parks-sports-fields-and-outdoor-recreation,+1-613-580-2595,sports@ottawa.ca,,,,,,,,,
Lalande Conservation Park,lalande-conservation-park,Park,,Ottawa,2145 Nantes Street,45.4601021,-75.461494,,,,,,,,,,,,
Linda Dunn Park,linda-dunn-park,Park,,Ottawa,1885 Celeste Way,45.4713951,-75.4650115,,,,,,,,,,,,
Frenette Park,frenette-park,Park,,Ottawa,1654 Frenette Street,45.4755842,-75.4669755,,,,,,,,,,,,
Yves Richer Park,yves-richer-park,Park,,Ottawa,499 A Des Épinettes Avenue,45.4626766,-75.4958821,,,,,,,,,,,,
Galetta Park,galetta-park,Park,,Ottawa,119 Darwin Street,45.4246239,-76.2598693,,,,,,,,,,,,
River Park,river-park,Park,,Ottawa,74 Creek Drive,45.4760874,-76.214199,,,,,,,,,,,,
Sheperds Grove Park,sheperds-grove-park,Park,,Ottawa,3825 Stonecrest Road,45.4375375,-76.1180295,,,,,,,,,,,,
Ashton Park and Cavanagh Community Centre,ashton-park-and-cavanagh-community-centre,Park,,Ottawa,8930 Flewellyn Road,45.1576921,-76.0292175,,,,,,,,,,,,
Saddlebrook Park,saddlebrook-park,Park,,Ottawa,160 John Aselford Driveway,45.3828095,-76.03424,,,,,,,,,,,,
Jensen Court Park,jensen-court-park,Park,,Ottawa,224 Jensen Court,45.3486113,-76.0313508,,,,,,,,,,,,
Langstaff Drive Soccer Fields,langstaff-drive-soccer-fields,Park,,Ottawa,192 Langstaff Drive,45.349211,-76.034467,,,,,,,,,,,,
Diefenbunker Baseball Diamond,diefenbunker-baseball-diamond,Park,,Ottawa,3911 Carp Road,45.351969,-76.0519635,,,,,,,,,,,,
West Carleton War Memorial,west-carleton-war-memorial,Park,,Ottawa,462 Donald B. Munro Drive,45.3453625,-76.0392557,,,,,,,,,,,,
Torbolton Hall / Torbolton Garage,torbolton-hall-torbolton-garage,Park,,Ottawa,1438 Kinburn Side Road,45.4481845,-76.0950945,,,,,,,,,,,,
Dunrobin Community Centre,dunrobin-community-centre,Park,,Ottawa,1151 Thomas A. Dolan Parkway,45.4215925,-76.025352,,,,,,,,,,,,
Archie Park,archie-park,Park,,Ottawa,179 Archie Street,45.4934005,-76.0933625,,,,,,,,,,,,
Constance Buckham's Bay Community Centre Park,constance-buckhams-bay-community-centre-park,Park,,Ottawa,262 Len Purcell Drive,45.4993592,-76.0928892,,,,,,,,,,,,
Stroughton Park,stroughton-park,Park,,Ottawa,6 Chelmsford Crescent,45.1664653,-75.9388433,,,,,,,,,,,,
Trevor Vance Park,trevor-vance-park,Park,,Ottawa,129 Goodman Drive,45.3764625,-75.9934805,,,,,,,,,,,,
Weatherly Park,weatherly-park,Park,,Ottawa,2 Maley Lane,45.363573,-75.969624,,,,,,,,,,,,
Dunollie Park,dunollie-park,Park,,Ottawa,2057 Dunollie Crescent,45.355862,-75.942243,,,,,,,,,,,,
Louis Turner Park,louis-turner-park,Park,,Ottawa,1190 Old Second Line Road,45.35013,-75.9502515,,,,,,,,,,,,
Klondike Road Park,klondike-road-park,Park,,Ottawa,1365 Halton Terrace,45.3494423,-75.93734,,,,,,,,,,,,
Porcupine Park,porcupine-park,Park,,Ottawa,142 Porcupine Trail,45.4245655,-76.019948,,,,,,,,,,,,
Dunrobin Shores Park,dunrobin-shores-park,Park,,Ottawa,2940 Barlow Crescent,45.4629705,-75.9720965,,,,,,,,,,,,
Goulbourn Recreation Complex,goulbourn-recreation-complex,Park,,Ottawa,1500 Shea Road,45.2623384,-75.90693,,,,,,,,,,,,
Village Square Park,village-square-park,Park,,Ottawa,6000 Abbott Street East,45.2586331,-75.9199799,,,,,,,,,,,,
Traditions Woodlot,traditions-woodlot,Park,,Ottawa,525 Cresswell Court,45.2403366,-75.913634,,,,,,,,,,,,
Sweetnam Park,sweetnam-park-ottawa,Park,,Ottawa,30 Sweetnam Drive,45.2745753,-75.9120095,,,,,,,,,,,,
Forest Creek Park,forest-creek-park-ottawa,Park,,Ottawa,21 Amy Street,45.268755,-75.9095845,,,,,,,,,,,,
Amberwood Pathway,amberwood-pathway,Park,,Ottawa,72 Trailway Circle,45.2666605,-75.9152788,,,,,,,,,,,,
Pine Bluff Park,pine-bluff-park,Park,,Ottawa,46 P Hesse Crescent,45.2636675,-75.916689,,,,,,,,,,,,
Poole Creek Pathway (East),poole-creek-pathway-east,Park,,Ottawa,1395 Stittsville Main Street,45.2637881,-75.9248291,,,,,,,,,,,,
Poole Creek Park,poole-creek-park,Park,,Ottawa,10 Jonathan Pack Street,45.2588595,-75.930819,,,,,,,,,,,,
Stitt Street Park,stitt-street-park,Park,,Ottawa,19 Stitt Street,45.2574291,-75.9308209,,,,,,,,,,,,
Poole Creek Pathway (West),poole-creek-pathway-west-ottawa,Park,,Ottawa,48 Beverly Street,45.2562206,-75.9307261,,,,,,,,,,,,
Green's Creek Sliding Hill,greens-creek-sliding-hill,Park,,Ottawa,1046 St. Joseph Boulevard,45.451198,-75.578056,,,,,,,,,,,,
Michael Budd Park,michael-budd-park,Park,,Ottawa,2359 Orient Park Drive,45.4330914,-75.5543636,,,,,,,,,,,,
Richard Dagg Park,richard-dagg-park,Park,,Ottawa,5 Red Maple Crescent,45.4375795,-75.5546872,,,,,,,,,,,,
Ruisseau Park,ruisseau-park,Park,,Ottawa,6116 Creek Crossing Street,45.4351705,-75.5245115,,,,,,,,,,,,
Tempest Park,tempest-park,Park,,Ottawa,201 Tempest Drive,45.2850126,-75.9179226,,,,,,,,,,,,
Amberway Park,amberway-park,Park,,Ottawa,11 Denham Way,45.2767748,-75.9192133,,,,,,,,,,,,
Ludger Landry Park,ludger-landry-park,Park,,Ottawa,4825 Piperville Road,45.3459105,-75.5182865,,,,,,,,,,,,
Ouellette Park,ouellette-park,Park,,Ottawa,530 Strasbourg Street,45.451311,-75.4896725,,,,,,,,,,,,
Aquaview Park,aquaview-park,Park,,Ottawa,318 Aquaview Drive,45.4546888,-75.4792772,,,,,,,,,,,,
Stewart Martin Park,stewart-martin-park,Park,,Ottawa,2552 Market Street,45.5162505,-75.40725,,,,,,,,,,,,
Bluegrass Park,bluegrass-park,Park,,Ottawa,59 Bluegrass Drive,45.2855241,-75.8591914,,,,,,,,,,,,
Cumberland Village Heritage Museum,cumberland-village-heritage-museum,Park,,Ottawa,2940 Old Montreal Road,45.5149116,-75.389642,,,,,,,,,,,,
Bearbrook Community Hall,bearbrook-community-hall,Community Centre,,Ottawa,,45.3837168,-75.3371686,,,,,,,,,,,,
Leslie Armstrong Park,leslie-armstrong-park,Park,,Ottawa,8720 Russell Road,45.3837486,-75.3366635,,,,,,,,,,,,
Fairmile West Park,fairmile-west-park,Park,,Ottawa,2511 Fairmile Road,45.065045,-75.6563505,,,,,,,,,,,,
Fairmile View Park,fairmile-view-park,Park,,Ottawa,2429 Fairmile Road,45.0681735,-75.6508765,,,,,,,,,,,,
Fairmile River Access,fairmile-river-access,Park,,Ottawa,2490 Fairmile Road,45.064733,-75.654537,,,,,,,,,,,,
Reeve Craig Park,reeve-craig-park,Park,,Ottawa,7747 Greenline Road,45.073717,-75.6433875,,,,,,,,,,,,
Rideau Country Estates South Park,rideau-country-estates-south-park,Park,,Ottawa,7630 Settler's Way,45.0281085,-75.7472685,,,,,,,,,,,,
Rideau Country Estates North East Park,rideau-country-estates-north-east-park,Park,,Ottawa,7521 Settler's Way,45.0340525,-75.749188,,,,,,,,,,,,
Rideau Country Estates Centre Park,rideau-country-estates-centre-park,Park,,Ottawa,7686 Settler's Way,45.032691,-75.7515585,,,,,,,,,,,,
Blanchfield School,blanchfield-school,Park,,Ottawa,3193 Blanchfield Road,45.1638335,-75.570429,,,,,,,,,,,,
Vernon Park,vernon-park,Park,,Ottawa,7814 Lawrence Street,45.1599625,-75.462395,,,,,,,,,,,,
Edwards Park,edwards-park,Park,,Ottawa,1081 York's Corners Road,45.322017,-75.4647175,,,,,,,,,,,,
Morrena Park,morrena-park,Park,,Ottawa,190 Morrena Road,45.2960953,-75.8852196,,,,,,,,,,,,
Graham Ball Softball Diamond,graham-ball-softball-diamond,Park,,Ottawa,89 Castlefrank Road,45.2929665,-75.882741,,,,,,,,,,,,
Hope Cloutier Park,hope-cloutier-park,Park,,Ottawa,159 Old Colony Road,45.2924523,-75.8772666,,,,,,,,,,,,
Ravine Park (Kanata),ravine-park-kanata,Park,,Ottawa,162 Old Colony Road,45.2945025,-75.8734605,,,,,,,,,,,,
Harry Craig Centre,harry-craig-centre,Park,,Ottawa,6047 Prince Of Wales Drive,45.1743948,-75.715535,,,,,,,,,,,,
Grovewoods Park,grovewoods-park,Park,,Ottawa,13 Grovewood Lane,45.1995935,-75.839537,,,,,,,,,,,,
Larsen Park,larsen-park,Park,,Ottawa,41 Chimo Drive,45.3115524,-75.884654,,,,,,,,,,,,
Shearer Park,shearer-park,Park,,Ottawa,89 Kakulu Road,45.3065708,-75.8913242,,,,,,,,,,,,
Arbuckle Park,arbuckle-park,Park,,Ottawa,134 Christopher Hamilton Street,45.1882861,-75.842721,,,,,,,,,,,,
Bob Slack Park,bob-slack-park,Park,,Ottawa,91 Fowler Street South,45.1836749,-75.8323153,,,,,,,,,,,,
Jock River Park,jock-river-park,Park,,Ottawa,70 Lennox Street South,45.1868425,-75.8337221,,,,,,,,,,,,
Chanonhouse Park,chanonhouse-park,Park,,Ottawa,28 Chanonhouse Drive,45.193581,-75.8238335,,,,,,,,,,,,
Watt's Creek Park,watts-creek-park,Park,,Ottawa,74 Katimavik Road,45.3159985,-75.889957,,,,,,,,,,,,
Byrd Park,byrd-park,Park,,Ottawa,128 Chimo Drive,45.3104275,-75.894897,,,,,,,,,,,,
Escarpment Park (Chimo),escarpment-park-chimo,Park,,Ottawa,111 Chimo Drive,45.308155,-75.8946285,,,,,,,,,,,,
Beaufort Park,beaufort-park,Park,,Ottawa,56 Beaufort Drive,45.3116554,-75.8930034,,,,,,,,,,,,
Katimavik Woods,katimavik-woods,Park,,Ottawa,7 Katimavik Road,45.3140375,-75.8843469,,,,,,,,,,,,
Harthill Way Linear Park,harthill-way-linear-park,Park,,Ottawa,,45.2660009,-75.757109,,,,,,,,,,,,
Barrhaven Mews Park,barrhaven-mews-park,Park,,Ottawa,1010 Andora Avenue,45.2656878,-75.7551372,,,,,,,,,,,,
McKenna Park,mckenna-park,Park,,Ottawa,3131 Jockvale Road,45.2694351,-75.7503535,,,,,,,,,,,,
W.C. Levesque Fields,wc-levesque-fields,Park,,Ottawa,52 Riverstone Drive,45.2627429,-75.7257561,,,,,,,,,,,,
Golflinks Park,golflinks-park,Park,,Ottawa,50 Golflinks Drive,45.257517,-75.7229066,,,,,,,,,,,,
Lamprey Park,lamprey-park-ottawa,Park,,Ottawa,165 Lamprey Street,45.2435744,-75.7380039,,,,,,,,,,,,
Goddard Street Park,goddard-street-park,Park,,Ottawa,1304 Potter Drive,45.2166709,-75.693534,,,,,,,,,,,,
Gordon Scharf Park,gordon-scharf-park,Park,,Ottawa,5535 Pettapiece Crescent,45.221897,-75.6953655,,,,,,,,,,,,
